file_id,n_child,n_adult,chi_ratio,mlu_child,mlu_adult,ttr_child,ttr_adult,avg_chars_child,avg_chars_adult
td_Sachs_011010b,250,341,0.423,1.604,4.056,0.327,0.231,26.1,39.2
td_Sachs_011011,247,180,0.578,1.814,5.061,0.199,0.256,25.2,44.0
td_Sachs_011018,465,273,0.63,1.908,3.927,0.218,0.294,27.2,38.6
td_Sachs_011102,172,151,0.533,2.099,3.636,0.332,0.353,28.6,37.2
td_Sachs_011106,248,151,0.622,2.565,4.033,0.212,0.337,30.0,39.4
td_Sachs_011121,218,165,0.569,2.339,3.873,0.237,0.299,14.1,21.8
td_Sachs_020018,632,448,0.585,2.263,4.018,0.179,0.208,28.6,38.7
td_Sachs_020109,216,133,0.619,2.319,4.466,0.269,0.323,28.8,40.8
td_Sachs_020225,232,237,0.495,2.638,4.304,0.27,0.264,29.8,39.9
td_Sachs_020405,228,113,0.669,2.912,4.788,0.259,0.407,14.7,26.6
td_Sachs_020430,222,144,0.607,3.153,4.708,0.25,0.342,32.3,41.3
td_Sachs_020508,446,244,0.646,3.334,4.75,0.209,0.276,28.5,38.2
td_Sachs_020716,514,310,0.624,3.054,3.626,0.222,0.318,26.0,29.3
td_Sachs_020814,434,388,0.528,2.915,5.113,0.269,0.237,32.6,44.4
td_Sachs_020823,248,192,0.564,2.98,4.219,0.294,0.277,31.5,39.2
td_Sachs_020909,201,165,0.549,3.532,5.83,0.296,0.315,35.1,48.8
td_Sachs_021108,181,151,0.545,2.724,4.205,0.323,0.331,30.1,39.4
td_Sachs_021112,394,264,0.599,3.518,4.765,0.211,0.285,36.2,42.6
td_Sachs_021113,331,225,0.595,3.653,4.871,0.223,0.273,37.1,43.2
td_Sachs_030210,270,244,0.525,3.07,5.77,0.283,0.276,32.9,48.4
