file_id,cohort,U,T,dm_per_utt,dm_per_1k,disf_per_utt,disf_per_1k,pron1_per_1k,pron2_per_1k,pron3_per_1k,msv_per_1k
td_Providence_020907,TD,581,1893,0.0688,21.13,0.2083,63.92,17.43,2.64,54.94,3.17
td_Providence_020908,TD,512,1424,0.0684,24.58,0.2617,94.1,51.26,12.64,44.24,2.11
td_Providence_020909,TD,420,1208,0.0048,1.66,0.1905,66.23,34.77,14.9,29.8,6.62
td_Providence_020917,TD,627,2622,0.0255,6.1,0.3652,87.34,47.29,21.36,25.17,8.39
td_Providence_020920,TD,537,1903,0.0484,13.66,0.1788,50.45,10.51,12.61,55.7,0.53
td_Providence_020926,TD,791,1896,0.024,10.02,0.2162,90.19,9.49,5.27,15.82,0.0
td_Providence_021001,TD,564,2524,0.0106,2.38,0.3688,82.41,40.02,7.13,39.22,11.49
td_Providence_021002,TD,486,1665,0.0514,15.02,0.428,124.92,90.69,16.22,24.02,20.42
td_Providence_021008,TD,479,1862,0.023,5.91,0.1733,44.58,28.46,13.43,51.56,4.3
td_Providence_021008a,TD,274,1778,0.0292,4.5,0.6788,104.61,25.87,11.81,40.49,3.94
td_Providence_021008b,TD,418,2468,0.0431,7.29,0.5311,89.95,53.89,19.45,36.47,13.78
td_Providence_021011,TD,611,1652,0.0098,3.63,0.239,88.38,24.21,4.84,24.82,0.0
